"filename", "language", "Go", "Go Module File", "Batch", "Python", "Shell Script", "JSON", "HTML", "YAML", "Grule Rules", "TypeScript", "Go Work File", "bpmn", "comment", "blank", "total"
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\proposal.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 67
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\put-policy-reserved.go", "Go", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 140
"c:\Users\luca barbieri\Desktop\Workspace\google-function\broker\sequence.go", "Go", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 78
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\callback.go", "Go", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\email-verify.go", "Go", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 234
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\go.mod", "Go Module File", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 109
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\payment-v2.go", "Go", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 136
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\payment.go", "Go", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 182
"c:\Users\luca barbieri\Desktop\Workspace\google-function\callback\sign.go", "Go", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 163
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\claim.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\get-claim-document.go", "Go", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 90
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\go.mod", "Go Module File", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"c:\Users\luca barbieri\Desktop\Workspace\google-function\claim\put-claim.go", "Go", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 120
"c:\Users\luca barbieri\Desktop\Workspace\google-function\cloudbuild.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 13, 8, 65
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\assets\foreign-codes.json", "JSON", 0, 0, 0, 0, 0, 689, 0, 0, 0, 0, 0, 0, 0, 2, 691
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\assets\italian-codes.json", "JSON", 0, 0, 0, 0, 0, 24254, 0, 0, 0, 0, 0, 0, 0, 1, 24255
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\assets\reverse-codes.json", "JSON", 0, 0, 0, 0, 0, 33248, 0, 0, 0, 0, 0, 0, 0, 0, 33248
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\axa.go", "Go", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 116
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\bank-account-axa-inclusive.go", "Go", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 150
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\companydata.go", "Go", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 70
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\emit-product.go", "Go", 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 1075
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\gessur-gap-emit.go", "Go", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\global-transaction.go", "Go", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 95
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\global.go", "Go", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 287
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\go.mod", "Go Module File", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\life-axa-delete.go", "Go", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 129
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\life-axa-emit.go", "Go", 810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 841
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\person-global-emit.go", "Go", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 158
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\pmi-global-emit.go", "Go", 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 306
"c:\Users\luca barbieri\Desktop\Workspace\google-function\companydata\utils.go", "Go", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 96
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\components.go", "Go", 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80, 465
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\contract.go", "Go", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 70
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\document.go", "Go", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 124
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\fpdf-data.go", "Go", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 230
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\fpdf-utils.go", "Go", 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 401
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\fpdf-widget.go", "Go", 595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 631
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\gap.go", "Go", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 319
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\global.go", "Go", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 48, 401
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\go.mod", "Go Module File", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 103
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\labels.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\life.go", "Go", 1031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 1151
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\persona.go", "Go", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 258
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\sign-namirial.go", "Go", 767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 44, 822
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\sign-namirialV6.go", "Go", 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80, 528
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\template.html", "HTML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 11, 43
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\utils.go", "Go", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 358
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\widget.go", "Go", 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 58, 544
"c:\Users\luca barbieri\Desktop\Workspace\google-function\document\wopta.go", "Go", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Users\luca barbieri\Desktop\Workspace\google-function\enrich\ateco.go", "Go", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 81
"c:\Users\luca barbieri\Desktop\Workspace\google-function\enrich\cities.go", "Go", 8375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 8387
"c:\Users\luca barbieri\Desktop\Workspace\google-function\enrich\enrich.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 61
"c:\Users\luca barbieri\Desktop\Workspace\google-function\enrich\go.mod", "Go Module File", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\Users\luca barbieri\Desktop\Workspace\google-function\enrich\munich-vat.go", "Go", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 41
"c:\Users\luca barbieri\Desktop\Workspace\google-function\enrich\works.go", "Go", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 81
