Date : 2023-07-29 18:45:19
Directory : c:\Users\luca barbieri\Desktop\Workspace\google-function
Total : 299 files,  177806 codes, 853 comments, 3754 blanks, all 182413 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\get-product-by-role.go                        | Go             |         37 |          0 |          9 |         46 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\get-products-list.go                          | Go             |        152 |         13 |         29 |        194 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\go.mod                                        | Go Module File |         92 |          0 |          5 |         97 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mga\mga.go                                        | Go             |         33 |          0 |          7 |         40 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agency\agency-1.json                         | JSON           |        116 |          0 |          0 |        116 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agent\agent-1.json                           | JSON           |         33 |          0 |          0 |         33 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agent\agent-2.json                           | JSON           |        112 |          0 |          0 |        112 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\agent\user.json                              | JSON           |         24 |          0 |          3 |         27 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\claim\request01.json                         | JSON           |         22 |          0 |          0 |         22 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\collections\WoptaDev.postman_collection.json | JSON           |      1,351 |          0 |          0 |      1,351 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\company\ProductInfo.json                     | JSON           |      4,637 |          0 |          1 |      4,638 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\company\comanyBarilla.json                   | JSON           |      2,162 |          0 |          1 |      2,163 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\company\company.json                         | JSON           |        694 |          0 |          1 |        695 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\ducument\document.json                       | JSON           |         47 |          0 |          1 |         48 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\ducument\namirial\namirialSand.json          | JSON           |        254 |          0 |          1 |        255 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\ducument\person.json                         | JSON           |         50 |          0 |          2 |         52 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\mail\01.json                                 | JSON           |         14 |          0 |          0 |         14 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\mga.json                                     | JSON           |         48 |          0 |          7 |         55 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\namirial\evelopget.json                      | JSON           |        472 |          0 |          0 |        472 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\payment\atum01.json                          | JSON           |         19 |          0 |          0 |         19 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\payment\response01.json                      | JSON           |         13 |          0 |          0 |         13 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\policy\obj.json                              | JSON           |        788 |          0 |          0 |        788 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\policy\person01.json                         | JSON           |         93 |          0 |          5 |         98 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\policy\pmi01.json                            | JSON           |      1,082 |          0 |          0 |      1,082 |
